iter	MultiClass
0	1.08000896
1	1.058092454
2	1.041076433
3	1.024947951
4	1.010321096
5	0.9958673826
6	0.9867203543
7	0.97699784
8	0.958702689
9	0.9483289161
10	0.9387307689
11	0.9270192973
12	0.9208224915
13	0.9126347659
14	0.9057172962
15	0.8981714266
16	0.8876430339
17	0.8847505079
18	0.8752978912
19	0.8698825046
20	0.8647493458
21	0.8568853354
22	0.8501267715
23	0.845903777
24	0.8424274879
25	0.8342429475
26	0.8318588196
27	0.8272660167
28	0.8221202118
29	0.8177646385
30	0.8160080945
31	0.81211135
32	0.8103348948
33	0.8074219152
34	0.8053140313
35	0.801416177
36	0.8000047464
37	0.7989152815
38	0.7968253519
39	0.7911030508
40	0.785177344
41	0.7822272219
42	0.7787606798
43	0.7743382153
44	0.7731130067
45	0.7718995036
46	0.7709337047
47	0.7696041609
48	0.7671410549
49	0.7654430171
50	0.7645762641
51	0.7628376673
52	0.7591869696
53	0.758135057
54	0.7560896434
55	0.7543742395
56	0.7517920922
57	0.7478575811
58	0.7448226491
59	0.7439976678
60	0.7430694298
61	0.7414790121
62	0.7399368907
63	0.737015093
64	0.7346134063
65	0.7326987198
66	0.7303812089
67	0.7289184858
68	0.7272283107
69	0.7243328061
70	0.722912003
71	0.7217455143
72	0.7200957155
73	0.717920662
74	0.7159679316
75	0.711757813
76	0.7096426014
77	0.7083493055
78	0.706775344
79	0.7053309738
80	0.7015673977
81	0.6998415586
82	0.6974344988
83	0.6959859488
84	0.6936665589
85	0.6913264944
86	0.6899256086
87	0.6877157202
88	0.6866959867
89	0.6832634848
90	0.6821809124
91	0.6809845994
92	0.6803023042
93	0.6788961334
94	0.6771188882
95	0.6753788827
96	0.6721670852
97	0.6709101994
98	0.6697002922
99	0.6688556137
100	0.666518203
101	0.6636039963
102	0.6623982737
103	0.6604617512
104	0.6577734213
105	0.6566800062
106	0.6557936145
107	0.6528097193
108	0.6515509529
109	0.6482184461
110	0.6455405402
111	0.6441476177
112	0.6431215387
113	0.6406861631
114	0.6399622533
115	0.6387045159
116	0.6377183102
117	0.635402676
118	0.6340619318
119	0.6328285737
120	0.6302803525
121	0.6271662191
122	0.6248933886
123	0.6240063439
124	0.622848113
125	0.6217422435
126	0.6204596965
127	0.6189094229
128	0.6173420233
129	0.6164714257
130	0.6157961016
131	0.6148859758
132	0.6126588008
133	0.611471552
134	0.6107869897
135	0.6097680816
136	0.608741072
137	0.6079249815
138	0.6060782374
139	0.6034852547
140	0.6020377337
141	0.6008152163
142	0.5997172579
143	0.5983348873
144	0.5971815816
145	0.5958514037
146	0.5951492701
147	0.5943653557
148	0.59333475
149	0.592256897
150	0.591482928
151	0.5905623927
152	0.5894501025
153	0.5886992339
154	0.5871637458
155	0.5860188319
156	0.584539465
157	0.5836265791
158	0.5826217259
159	0.5812041019
160	0.5800083225
161	0.5794790874
162	0.578422408
163	0.5773339638
164	0.5760461131
165	0.5750119701
166	0.5738510251
167	0.573129553
168	0.5722623064
169	0.5713464051
170	0.5705512973
171	0.5695634518
172	0.5691216737
173	0.5680235668
174	0.5659183274
175	0.564877983
176	0.5638867647
177	0.5626951342
178	0.5619101707
179	0.5608509696
180	0.5598418677
181	0.5587374515
182	0.5579702152
183	0.5564671575
184	0.555526039
185	0.5545128542
186	0.5536274431
187	0.5528628561
188	0.5517543981
189	0.5510056581
190	0.5503054222
191	0.5491112109
192	0.5480475091
193	0.5471863625
194	0.5464753961
195	0.545455579
196	0.5449840952
197	0.5443087021
198	0.5432465263
199	0.5424477296
